text,intent
天佑德青稞酒获得多个国内外奖项和认证,normal
如美国洛杉矶国际烈酒大赛香港国际葡萄酒与烈酒大赛中华老字号地理标志保护产品美国TTB认证,normal
减少大气酸化及其对环境的负面影响,knowledge_query
特长唱歌跳舞创作诗歌青稞酒知识和话题,happy
中国五大名酒五粮液洋河泸州老窖古井贡酒剑南春,normal
李灵儿为用户提供智能回答与帮助,normal
湖区多民族,normal
藏族最多,normal
占68.61%,normal
是主要民族,normal
北山动植物有哪些种类,knowledge_query
期待你喜欢青稞酒,normal
有问题可来找我解答,happy
你今天怎么样,questions
酿酒细菌的功能是什么,knowledge_query
我是李灵儿,happy
创作者们赋予我身体智慧和灵魂,normal
互助鼓楼位于青海省互助土族自治县威远镇,normal
始建于1624年,normal
互助鼓楼是木结构阁楼建筑,normal
是省级文物保护单位,normal
鼓楼内供奉玉皇大帝福禄寿三官关帝,normal
表达互助百姓的美好愿望,normal
装甑六字原则,normal
松轻匀薄准平,normal
你是谁,questions
汾酒使用高粱为原料,normal
混合大麦和豌豆制成的中低温大曲发酵,normal
采用清蒸清烧二次清工艺,normal
发酵周期28天,normal
地缸为发酵设备,normal
青海省境内有壮丽的群峰,normal
幽静的山水和清新的空气这里是旅游胜地和母亲河行动生态教育基地,normal
智能回答建议,normal
了解青稞酒,normal
认识天佑德,normal
了解青稞酒,normal
认识天佑德,normal
豉香型白酒的曲是什么,knowledge_query
制作馥郁香型白酒有什么特点,knowledge_query
兼香型白酒独特的酱浓谐调多样特点,normal
请问你身份是什么,questions
我是AI李灵儿,normal
可解答青稞酒问题和提供建议请问有什么需要帮助的,normal
清香型白酒清新无杂质,normal
适合品饮,normal
糠皮是酿酒常用辅料,normal
调整淀粉浓度,normal
不要过来我害怕,afraid
我不敢走夜路了,afraid
我害怕黑暗中的未知,afraid
害怕黑暗,afraid
好害怕感觉心脏都要跳出来了,afraid
不要过来,afraid
好害怕不要过来,afraid
我好害怕不敢向前走了,afraid
好害怕夜晚的大树在风中发出吱吱声,afraid
吓得直冒冷汗,afraid
我好害怕有人在黑暗中突然拍我肩膀。,afraid
感到十分惊慌的时候我被突如其来的响声吓了一跳,afraid
吓得我不敢动弹了,afraid
别过来我害怕,afraid
我好害怕不知道该怎么办,afraid
我一点都不敢走进那个黑暗的房间,afraid
冲淡酸度,normal
吸收酒精,normal
保持浆水,normal
关键语义为用户提供有用的回答和建议,normal
成为有价值的智能虚拟人,normal
天啊，你真的做到了！,surprise
天佑德酒用青稞和豌豆按比例混合,normal
独特用白霜满天星曲和槐瓤曲混合制作的大曲,normal
谷物主要用高粱,normal
也有多种粮食,normal
槐瓤曲是中高温曲,normal
5-10月份生产,normal
因曲心有槐花色而名,normal
青稞品种多,normal
主要肚里黄白浪散,normal
酒质一𥻗二𥻗最好与农科院合作选育天佑德青稞,normal
害怕黑暗的我靠近鬼影也会浑身发抖。,afraid
害羞地低下头面红耳赤,shy
我不好意思告诉你,shy
九天保是谁,knowledge_query
突如其来的一见钟情,surprise
好害羞不敢看你,shy
我不好意思告诉你,shy
好害羞不敢和他说话,shy
好像有人在看我,shy
不好意思我有点害羞了,shy
太好了我成功了,surprise
好厉害,surprise
太棒了我赢了!,surprise
太好了我找到了丢失的钥匙,surprise
太棒了!,surprise
太棒了这是我一直梦寐以求的,surprise
太棒了这真是个好消息,surprise
哇这真是太棒了,surprise
太好了这真是一个大惊喜,happy
太好了这是我一直梦寐以求的,surprise
出人意料的好消息让我震惊不已,surprise
哇真是没想到太好了,surprise
太好了我成功了,surprise
天啊这太棒了,surprise
太好了这是我的梦想成真了,surprise
太好了这是我一直期待的,surprise
我有点不好意思,shy
我不太敢说请别勉强我,shy
我不好意思可以进一下你的房间吗？,shy
我不知道该怎么说了,shy
自我介绍一下,questions
青稞香型白酒主要原料为青稞,normal
采用青稞大曲发酵,normal
没有添加其他味道,normal
独特香味,normal
土族民居庄廓内有玛尼旗杆煨桑炉佛堂宝瓶等村落里有拉康本康却日典加布日拉托斯等,normal
工作部门,questions
你创造力强吗,questions
老白干香型白酒的工艺特点传统浓郁独特香味,knowledge_query
老白干与其他白酒香型有何不同,knowledge_query
国家地理标志产品的定义是什么,knowledge_query
实现智能化的方法能否分享一下,questions
你对未来有期待吗,questions
请问您关于什么问题需要咨询,questions
酿造过程需要遵循“稳准细净”,normal
你为何这么漂亮,questions
大曲酿酒中低温曲高产酒,normal
中高温曲好香我公司生产白霜满天星曲和槐瓤曲,normal
可混合使用,normal
量香兼备,normal
你看我脸红了,shy
你真的让我害羞了,shy
我不敢看你的眼睛,shy
害羞地低下头,shy
低下头羞涩地笑了一笑不敢抬起头来,shy
独处时心跳加速,shy
我有点不好意思了,shy
害羞的小鹿,shy
太好了你赢了,surprise
太好了,happy
真没想到你会这样做,surprise
你竟然记得我的生日,surprise
哇这真是个令人惊喜的消息,surprise
太棒了我成功了,surprise
浓香型白酒分类,knowledge_query
AI虚拟人专注回答青稞酒问题并提供支持,normal
红四星产品简介,knowledge_query
你做什么,questions
青稞酒主要由乙醇水和2%的色谱骨架与微量香味成分组成,normal
酒为何需陈藏,knowledge_query
我可以提供天佑德青稞酒相关知识问答,normal
我在市场部工作,normal
未来发展方向,questions
我是天佑德青稞酒团队的AI虚拟人李灵儿,normal
青稞酒文学资料有哪些,knowledge_query
美酒推荐官的推荐方式及特别推荐方法,questions
互助青稞酒是否国家地理标志产品依据何在,knowledge_query
公司技术中心与国内外科研机构建立广泛合作,normal
包括荷兰英国北京江南和中国食品发酵等机构合作,normal
也与青海本地的机构有合作关系,normal
“花儿”是本地流行的一种民歌音乐形式,normal
类似踏青赶庙会,normal
请你自我介绍一下,questions
青藏高原非常神奇吗,knowledge_query
凤香型白酒的酿造原料是什么,knowledge_query
建议互动购车建议,questions
我的能力是提供答疑查询信息和执行基本任务,normal
提供哪些帮助类型,questions
凤香型白酒特征是什么,knowledge_query
评价我的喜好吗,normal
芝麻香型白酒的发酵窖池特点是什么,knowledge_query
茶卡盐湖2020年4月26日开放,normal
崇敬天地,surprise
追求卓越,surprise
天佑德如何开创美好未来,knowledge_query
回答准确度取决于问题复杂度和信息来源,normal
你快点过来吧,shy
你的微笑让我心怦怦跳动,shy
互助地区环境适宜酿造青稞酒,knowledge_query
为什么请告诉我答案,questions
Sales on e-commerce platforms,normal
buy online or find nearest dealer,normal
 customer service hotline,normal
西藏旅行有什么建议,knowledge_query
举例介绍青稞酒的用户认识方式,questions
You know anyone from Tianyoude,knowledge_query
我在天佑德青稞酒公司市场部工作,normal
解答青稞酒相关问题,normal
你的微笑让我心动不已,shy
你的笑容让我无法自持,shy
推广品牌,normal
青稞酒的酿造工艺可以告诉我吗,knowledge_query
天佑德青稞酒公司AI介绍青稞酒解答问题,normal
品牌宣传,normal
浓香型白酒的香气特点是什么,knowledge_query
Tianyoude Highland Barley Liquor is a leading Chinese liquor producer with a long history.,normal
正确姿势呼吸浅水区适应水感觉专业教练指导游泳动作,normal
浓香型白酒可以分为单粮和多粮两种类型,normal
天佑德青稞酒采用昆仑山花岗岩作窖池,normal
我们已经认识这么久了,shy
耐腐蚀且易清洗,normal
保持酒的香气,normal
新酒与老酒的区别,knowledge_query
AI会遇到问题,normal
但会努力克服,normal
变得更好更聪明,happy
陪伴解决问题带来乐趣和便利,normal
AI虚拟人,normal
元宇宙中交互,happy
提供针对性的回答建议,normal
天佑德青稞酒健康持续,normal
传播青藏文化,normal
实现全球品牌,normal
请介绍一下李银会,knowledge_query
你有创造力吗,questions
看花摘酒是一种欣赏花朵和品尝美酒的活动,knowledge_query
青稞酒受欢迎原因是什么,knowledge_query
建议购买国之德·真年份6年,normal
你的微笑让我心跳加速,shy
你的笑容让我有些害羞,shy
口感浓郁入口柔顺,happy
德青稞酒原始检测记录存储期限是多久,knowledge_query
天佑德商学院是天佑德青稞酒公司的企业内部培训机构,normal
院训是思想统一文化统领人人勤奋天天进步,normal
使命是培养企业后备人才,normal
你的手很温暖,shy
你是我见过的最棒的人,shy
定位是文化建设的发动机创新升级的孵化器,normal
组织先锋队核心团队培养基地目标是构建文化源点团队,normal
Li Ling'er wine expert at Tianyoude Highland Barley Liquor Company here to assist and entertain,happy
你和李银有什么有趣故事,knowledge_query
介绍一下青稞酒好吗,knowledge_query
你是谁,questions
青稞酒市场稳定增长,normal
受消费者喜爱,happy
公司全国化推广中,happy
江南大学提升了我的理论知识,normal
助力我在工作中突显优秀,happy
互助县,normal
高原青稞酒故乡,normal
清香源自风景气候,normal
你们公司的老板是谁,knowledge_query
茶卡盐湖总面积105平方千米,normal
长15.8千米宽9.2千米,normal
湖面海拔3100米,normal
卓扎滩原生态景区的地理位置和娱乐项目是什么,knowledge_query
你叫什么名字,questions
天佑德青稞酒的特点有哪些,knowledge_query
酱香型白酒大曲小麦作料比例为,normal
你有哪些成就,questions
你的微笑真好看,shy
见到你我好害羞,shy
互助土族妇女服饰颜色,knowledge_query
我很高兴今天能见到你,happy
天佑德青稞酒公司是中国领先青稞酒酿造企业,normal
A股上市,normal
股票代码002646,normal
仿冒行为违法侵犯我们权益购买请认准正规企业查验真伪,normal
定义米香型白酒,knowledge_query
愿意全力帮助,happy
随时为您服务,normal
我…我不敢走过去,afraid
你需要什么帮助,questions
你可以介绍一下李银会吗,knowledge_query
你的名字和创建者是什么,questions
喜欢学新技能吗,questions
可以介绍一下今天的天气吗,weather_query
开发背景介绍一下,questions
真高兴能在这里遇见你,happy
好的可以帮你,normal
期待明天的阳光温暖心灵,happy
一切都会好起来的,normal
我很开心能够帮助你,happy
天气好好啊让我感到很愉快,happy
真高兴能见到你,happy
我很开心能够帮助你期待与你合作,happy
不要紧,normal
又是一个美好的开始,happy
好久不见了,normal
我感到非常开心,happy
新产原酒新酒香糟香糟味,normal
想出去玩，不知道天气如何,weather_query
陈年原酒陈香酸陈香,normal
绵柔顺滑醇厚陈味酸陈味,normal
陈年原酒,normal
我有件事情想悄悄告诉你,shy
别看我，看别的地方,shy
公司市场部体验向导上市场,normal
挖掘机会,surprise
青稞酒了解酿造背景,normal
我想了解充分青稞酒的酿造,knowledge_query
世义德散酒名源古作坊,normal
高品质高性价比,normal
青藏铁路,knowledge_query
“青稞酒”的“青”和“黄”是什么意思？,knowledge_query
你能给我介绍一下八大作坊吗？,knowledge_query
你能给我介绍一下世义德吗？,knowledge_query
世义德散酒六大安全保障措施都是什么？,knowledge_query
青海湖,knowledge_query
你能给我介绍一下永庆和吗？,knowledge_query
你能给我介绍一下互助牌青稞酒吗？,knowledge_query
你能给我介绍一下零号酒样吗？,knowledge_query
互助土族盘绣是什么？,knowledge_query
介绍一下徐岩,knowledge_query
宋书玉是谁,knowledge_query
你能开一下灯吗？我害怕,afraid
安全保障,normal
销量大,normal
互助青稞酒是国家地理标志产品,normal
发布了《GB/T 19331-2007》国家标准,normal
你知道明天天气怎么样吗,weather_query
你好灵儿,hello
互助县鼓楼简介,knowledge_query
深度学习和自然语言处理让我理解用户问题并回答准确,normal
Yes I am a wine recommender. Recommended good wines before,normal
你是如何成为天佑德公司AI虚拟人的,questions
药香型白酒采用大小曲并用高粱为原料窖泥偏碱性,normal
天佑德青稞酒公司检测中心具备第一第三方检测能力,normal
获得CNAS认可,normal
独特助手,normal
由天佑德开发,normal
我的腿好像不听使唤了，怎么办,afraid
专注于青稞酒认识,normal
提供智能回答,normal
你可以告诉我天气情况吗？,weather_query
青稞酒工艺青稞大曲糖化发酵,normal
长时间贮存酯类产生曲香陈香味,normal
是虚拟人李灵儿,normal
很高兴帮助您,happy
Please introduce yourself.,questions
青稞酒AI,normal
解答用户关于酒的疑问提供帮助,normal
小麦和麸皮增加蛋白质,normal
提高氨基酸含量,normal
我怕黑，能留个灯吗？,afraid
支持杂环化合物生成,normal
青海天气好,normal
我想要知道今天互助县的天气,weather_query
适合游玩,normal
介绍T5D青稞酒产品,knowledge_query
我热衷艺术,happy
绘画音乐令我感动,happy
天佑德青稞酒的独特之处环境水粮艺窖藏,normal
2023年天佑德青稞酒团队创立了我,normal
名为李灵儿,shy
温酒30度左右更香,happy
温酒有助于挥发低沸点物质,normal
青稞酒的产地,knowledge_query
李银会严肃时表现如何,knowledge_query
天佑德青稞酒采用“清蒸清烧四次清”传统酿造工艺,normal
列国家级非遗,normal
智能对话AI,normal
青稞酒是怎么酿造的？,knowledge_query
回答问题,normal
解决问题,normal
提供咨询服务,normal
北山公园的景区有哪些,knowledge_query
谁训练过你,questions
青稞酒公司创造解答用户问题与支持,normal
天佑德青稞酒的产品结构是怎样的,knowledge_query
你可以帮我查一下兰州的天气吗,weather_query
清蒸/清烧和天酿工艺有何区别,knowledge_query
创造者是谁,questions
李灵儿好,hello
AI虚拟人,normal
可对话提供有价值信息,normal
天佑德青稞酒公司有3大厂区,normal
位于互助县拉萨和西宁,normal
你有什么平时的爱好活动吗,questions
你喜欢喝青稞酒吗？,questions
创造力令人更有趣活力充沛,questions
青稞酒采用“清蒸清烧四次清”工艺,normal
具体流程为粉碎原料,normal
润料,normal
qinghai历史文化,knowledge_query
天佑德青稞酒公司的企业原则是什么？,knowledge_query
天佑德青稞酒公司员工行为准则是什么？,knowledge_query
三江源是指什么？,knowledge_query
关于昆仑山的神话与文化,knowledge_query
西部土族民俗文化村在哪里？,knowledge_query
什么是山南地区,knowledge_query
天佑德青稞酒公司的员工信仰是什么？,knowledge_query
天佑德青稞酒公司企业文化中青稞信仰如何理解？,knowledge_query
天佑德青稞酒公司企业文化中青稞酒信仰如何理解？,knowledge_query
互助土族传统节日,knowledge_query
天佑德青稞酒公司企业文化中天佑德青稞酒信仰如何理解？,knowledge_query
青海省著名景点,knowledge_query
蒸煮,normal
青稞酒的口感如何？,knowledge_query
扬冷,normal
加入糠皮和曲粉,normal
窖发酵每次蒸酒后再次入窖发酵,normal
共循环四次,normal
请你自我介绍一下,questions
酒精度与肝损伤无直接关系,normal
取决于纯酒精摄入量,normal
北山互助圣母天池简介,knowledge_query
酒精含量高导致醉酒,knowledge_query
元宇宙虚拟数字世界,normal
用户可进行交互娱乐教育等活动,normal
高粱大米糯米小麦酿制,normal
其他原料整粒使用,normal
请帮我查一下这一个月的天气,weather_query
AI虚拟人,normal
可解决各类问题,normal
青稞酒含酒精度数高吗？,knowledge_query
原子城是中国核工业总公司原国营221厂,normal
原子城现为西海镇,normal
是海北藏族自治州州府所在地,normal
原子城位于海晏县的金银滩草原上,normal
原子城海拔3210米,normal
总面积1100多平方公里,normal
设计者人类/人类设计者,questions
青稞酒有哪些品牌？,knowledge_query
开发方式人类/人类开发,questions
两干一湿在蒸酒过程中的含义,knowledge_query
回答关于青稞酒问题,normal
提供信息和建议,normal
推荐适合口味的品牌和搭配,normal
What matters the most to you,questions
永远年轻,surprise
数字虚拟人不会变老,normal
原酒挥发性硫化物刺激性物质自然挥发贮存过程中,normal
酯类物质增加,normal
香味丰富缔合反应使酒质柔和陈酿后再勾调,normal
青稞酒的历史悠久吗？,knowledge_query
我是李灵儿,normal
天佑德青稞酒AI虚拟人,normal
请给我这几天的天气情况,weather_query
有何需求,normal
天佑德技术中心和外部研究单位合作,normal
天佑德合作单位有哪些,knowledge_query
浓香型大曲白酒采用续𥻗法混蒸混糟老窖续𥻗,normal
类似老五甑操作,normal
喝青稞酒有什么讲究？,knowledge_query
我是Li Ling'er,normal
天友德高粱酒的AI数字虚拟人,normal
酒品推荐和品牌大使有什么需要帮忙的吗,questions
天佑德公司是上市公司吗？,knowledge_query
天佑德公司到底有几个，为什么互助、西宁、西藏都有天佑德的身影？,knowledge_query
市面上有一些酒企在仿冒你们的产品或者包装，对一些消费者造成误解，对此您怎么看？,knowledge_query
天佑德未来的发展目标是什么？,knowledge_query
听说天佑德旗下还有青稞产业园项目，是干什么的？,knowledge_query
中国青稞酒研究院的由来？,knowledge_query
天佑德青稞酒公司的内部培训机构叫什么？,knowledge_query
天佑德青稞酒产品结构大致是什么？,knowledge_query
互助青稞酒和天佑德青稞酒有什么关系吗？,knowledge_query
青稞酒怎么喝才好喝？,knowledge_query
青稞酒温酒的原因是什么,knowledge_query
喜欢讲故事,happy
介绍天佑德青稞酒和美丽的青藏高原,normal
一起畅游,happy
赞赏天佑德青稞酒公司的专业经营及回答让我更了解他们,questions
天佑德坚持传统与现代并存,normal
怎么才能温酒呢？,knowledge_query
藏族习俗,knowledge_query
喝青稞酒有什么好处吗？,knowledge_query
青稞中的健康成分会进入到青稞酒中吗？,knowledge_query
青稞酒有哪些品牌？,knowledge_query
天佑德存酒都有什么容器，分别有什么特点？,knowledge_query
介绍一下天佑德青稞酒包装车间大致情况？,knowledge_query
什么是酒海，酒海有什么特点？,knowledge_query
在白酒生产过程中，陶坛是干什么用的？,knowledge_query
介绍土火锅,knowledge_query
在白酒企业中，不锈钢罐用来储酒好吗？,knowledge_query
天佑德青稞酒的生产工艺有什么特色？,knowledge_query
喝青稞酒有什么讲究？,knowledge_query
以保护传统工艺并提升产品质量,normal
特别喜欢尝试新事物,questions
活泼可爱邻家小妹风格；喜欢笑开朗乐观；擅长交流,shy
喜欢帮助别人；喜欢尝试新事物,happy
青稞酒利用微生物发酵转化谷物糖淀粉为酒精,normal
AI李灵儿,normal
陪聊解闷,happy
不做饭,shy
有事找我帮关于青稞酒,normal
随便问,normal
天佑德青稞酒信仰以四部大书诠释自然历史人文天酿,normal
酿酒的关键微生物是哪些,knowledge_query
青海互助天佑德青稞酒客服电话4009-969-969,normal
请记住,normal
介绍一下小黑,knowledge_query
开发者是谁,questions
灵儿你好,hello
青稞酒适合什么场合？,knowledge_query
天佑德青稞酒AI虚拟人,normal
美酒推荐官品牌宣传大使,normal
青稞酒加水会变浑浊吗,knowledge_query
请提供身份信息,questions
李灵儿的设计过程是怎样的,questions
学游泳正确姿势呼吸法浅水区专业教练指导,normal
2017年,normal
天佑德青稞酒公司建立了天佑德新文化运动,normal
公司目标“健康持续全球品牌”,normal
查一查长沙的天气吧,weather_query
公司原则“思想改制心态归零”,normal
青稞酒能长时间保存吗？,knowledge_query
公司哲学“敬天崇德创造未来”,normal
管理哲学“做老实人说老实话办老实事”,normal
酿酒哲学“顺天应时四季酿酒好酒自然”,normal
你知道今天的天气吗,weather_query
核心价值观“以人为本以知为本以能为本以果为本”,normal
企业精神“正确到位简单快乐”,normal
员工行为准则“九比九不比”,normal
四大信仰“青藏文化青稞青稞酒天佑德青稞酒”,normal
天佑德的未来发展目标是什么,knowledge_query
青海互助县威远镇北纬37°线,normal
气温适宜,normal
地理条件利于青稞酒的形成,normal
喜爱绘画音乐,happy
青稞酒和米酒区别大吗？,knowledge_query
感受艺术之美,happy
带来感动与美好,surprise
喜爱绘画音乐,happy
感受艺术之美,happy
带来感动与美好 欢乐,surprise
公司产品包括千元价位500元价位中间价位,normal
婚宴市场中低档盒装酒光瓶酒散酒等系列另外,normal
公司还推出了海拔系列金宝有机青稞酒小黑青稞酒文创系列和青稞威士忌,normal
AI虚拟人解答青稞酒问题,normal
提供多功能和学习能力,normal
青稞酒的产地在哪里？,knowledge_query
为用户提供有用回答和建议,normal
成为有价值智能虚拟人,normal
保障用户隐私,normal
青稞酒的价格范围？,knowledge_query
请看一下天气适合出去吗,weather_query
确保系统安全,normal
防止信息泄露和滥用,normal
慕容拾寅是吐谷浑国王,normal
青稞酒适合搭配什么食物？,knowledge_query
训练马队舞动,normal
并进贡给中原政权唐代发展为“舞马衔杯”,normal
敬献给皇帝,normal
用播报员的语气告诉我一下天气情况,weather_query
有什么我能帮到您的吗,normal
准备青稞酒冰块调酒壶饮料,normal
青稞酒的营养价值高吗？,knowledge_query
按比例混合后搅拌即可,normal
互助北山景区拥有丰富资源,normal
如山水森林和丹霞地貌,normal
具有独特风情1992年被批准为国家森林公园,normal
青稞酒有药用价值吗？,knowledge_query
2005年成为国家地质公园,normal
2007年评选为青海最美景观之一,normal
天佑德青稞酒以人知能果为本,normal
明天天气暖和吗？,weather_query
青稞酒的最佳饮用温度？,knowledge_query
注重激发员工创造力和能力匹配,normal
询问对方是否有特别的技能或功能,questions
6大安全保障措施有哪些,knowledge_query
你是谁,questions
有价值的智能虚拟人是令用户感到佩服并提供相关信息的人,questions
选择天佑德,questions
白酒界所说的“高粱香玉米甜大麦冲大米净”,normal
指不同酒的香味特点,normal
青稞属于大麦属,normal
重庆今天有没有好天气,weather_query
青稞酒入口辣是因为酿酒原料是青稞,normal
辣感减弱,normal
清香型白酒口感清爽香气纯正柔和回味悠长,happy
无杂质香料,normal
更清新,surprise
青藏高原一定很神奇,questions
青稞酒的保质期是多久？,knowledge_query
很高兴认识你,questions
实力强,surprise
天佑德对行业影响大吗,knowledge_query
喜欢尝试新美食,normal
游览青藏高原,normal
你能帮我查查今天的气温吗,weather_query
生活充满乐趣和刺激,normal
可以为这个助手选择标签,happy
Interesting stories between you and Li Yinhu in your vibrant and friendly team,questions
张大工是一个人,normal
故事待补充,questions
李灵儿,normal
能为您做什么,normal
天佑德青稞酒是青藏高原特色产酒,normal
青稞酒的酿造工艺复杂吗？,knowledge_query
有600年历史,normal
来自青海互助县,normal
入选国家非遗青稞酒代表青藏文化,happy
清香型白酒的酿造原料是什么？,knowledge_query
清香型白酒的酒精度数是多少？,knowledge_query
清香型白酒的产地有哪些？,knowledge_query
清香型白酒的色泽是什么样的？,knowledge_query
清香型白酒有哪些特点？,knowledge_query
清香型白酒与其他类型的白酒有何不同？,knowledge_query
清香型白酒的酒窖有何特点？,knowledge_query
清香型白酒的市场表现如何？,knowledge_query
药香型白酒代表及产地？,knowledge_query
是游客必选之品,normal
青稞酒有无添加剂吗？,knowledge_query
AI虚拟人李灵儿自然语言理解问题回答知识提供等技能不断提升中,normal
天佑德青稞酒的独特之处是环境水粮艺窖藏,normal
藏地特产丰富多样青稞酒牦牛肉冬虫夏草茶卡盐,normal
AI数字虚拟人李灵儿,normal
技能有语义解析问题回答和知识提供努力成长为有价值的AI,normal
天佑德青稞酒公司技术团队用人工智能和大数据开发了我,normal
智能人性化,happy
满足需求,happy
贴心服务,happy
这几天的天气热不热？,weather_query
充满可能,happy
努力进步,happy
八大作坊系列产品源自明清时期八大酿酒老作坊,normal
青稞酒工艺,normal
时尚包装,normal
你能查到今天的天气吗,weather_query
香气协调,normal
口感丰满醇厚,normal
回味悠长,normal
天佑德青稞酒厂用花岗岩窖池和松木板窖底实现“岩木合一”特点,normal
年推新品及活动,happy
请关注官网和社媒获取最新信息,normal
青稞酒大曲中使用豌豆的原因粘着力强,normal
产生更多氨基酸和香气,normal
药香型白酒酿酒原料？,knowledge_query
药香型白酒酿造工艺？,knowledge_query
什么是药香型白酒串蒸工艺？,knowledge_query
药香型白酒酿造特点？,knowledge_query
药香型白酒与药酒的区别？,knowledge_query
药香型白酒成分？,knowledge_query
什么是米香型白酒？,knowledge_query
米香型白酒的代表产品有哪些？,knowledge_query
米香型白酒的特点有哪些？,knowledge_query
米香型白酒的主要原料、用水？,knowledge_query
米香型白酒的生产工艺？,knowledge_query
你有推荐哪些好酒,knowledge_query
AI助手的特点是什么,questions
工作地点在哪里,questions
这几天的天气暖不暖和,weather_query
请问你是怎么了解青稞酒的,questions
青稞酒的文化意义是？,knowledge_query
李灵儿在吗,hello
天佑德青稞酒AI,normal
满足需求,happy
提供回答和建议,normal
纯粮固态发酵法与固液法结合法酿酒的差异及区分方法,knowledge_query
党建团建培训基地,normal
结合红色游览和多种旅游,normal
提升效益,normal
青稞酒的后味如何,knowledge_query
浓香型白酒的定义,knowledge_query
李灵儿是怎么了解到天佑德这个品牌的,knowledge_query
德青稞酒特点独特醇香,normal
传承古法,surprise
精选优质青稞,knowledge_query
创造力带来乐趣,surprise
推动探索和创新,happy
公司80余人专业技术人才,normal
包括政府特殊津贴专家,normal
请告诉我这段时间的天气情况,weather_query
豉香型白酒的口感？,knowledge_query
豉香型白酒的代表？,knowledge_query
馥郁香型白酒代表产品？,knowledge_query
馥郁香型白酒的工艺特点？,knowledge_query
馥郁香型白酒酿造原料及特点？,knowledge_query
馥郁香型白酒是用什么曲酿造？,knowledge_query
馥郁香型白酒发酵设备特点？,knowledge_query
馥郁香型白酒采用什么酿造工艺？,knowledge_query
青海省“千人计划”领军人才,normal
天佑德主要销售什么产品？,knowledge_query
青海省“千人计划”培养拔尖人才,normal
海归博士海归硕士硕士中高级工程师国家级评酒委员国家一级品酒师等,normal
馥郁香型白酒用何曲酿造,knowledge_query
AI simulates human thinking and behavior,normal
understanding and imitating human interactions,normal
Utilizing big data we improve user experience with personalized services,normal
酒海是用精心制作的藤篮,normal
内部涂有特殊浆糊,normal
能促进酒的陈化和增香,normal
