Input,Output
减少大气酸化及其对环境的负面影响,即馏酒结束后，揭开过气管或揭起甑盖，用大汽进行排酸，降低酒醅中的酸度，达到下轮入窖酸度要求。
北山动植物有哪些种类,动植物种类丰富，有高等植物1209种，野生动物达198种，其中列入国家一 、二级保护的野生动物共35种。
酿酒细菌的功能是什么,在白酒酿造中，酿酒细菌代谢产物对白酒香气和风味具有特殊作用，能够产生一些与酯类相对应的酸类物质，是形成风味物质的前提，如大曲和酒醅中都存在乳酸菌，它能发酵酒醅中的糖类产生乳酸，乳酸再通过酯化产生乳酸乙酯，而乳酸乙酯是白酒中重要的一种酯香物质，使白酒具有独特的香味，因此白酒生产需要适量的乳酸菌。
豉香型白酒的曲是什么,豉香型白酒采用小曲酿酒，也称大酒饼，它是以大米和大豆为主要原料，接种曲种，经培养制成的块状酒曲。
制作馥郁香型白酒有什么特点,以高粱为主，辅以大米、糯米、玉米和小麦，除玉米外其他原料均整粒使用，不粉碎。
九天保是谁,九天保是青稞白酒作坊最早的创始人。据《赵氏宗谱》记载，元大德二年（公元1298年）九天保（原土族无姓氏，意为上天保佑），在水坑子（地名，今天佑德青稞酒公司旧址）凿井，汲水酿造青稞蒸馏白酒，为青海酿酒业发展做出了重要贡献。
老白干香型白酒的工艺特点传统浓郁独特香味,老白干香型白酒的工艺特点：以高粱和小麦为主要原料；采用老五甑工艺，续糟配料，混蒸混烧，以纯小麦制作的中温大曲为糖化发酵剂，地缸发酵；发酵周期：一个月左右，基本不超过一个月；出酒率：相对较高，可达一半。
老白干与其他白酒香型有何不同,老白干香型白酒的生产工艺与其他类型的白酒相比，主要在于发酵容器和发酵时间的不同。地缸发酵是老白干香型白酒特有的发酵方式，同时发酵时间也较长。此外，老白干香型的口感比较烈，酒精度较高。
国家地理标志产品的定义是什么,国家地理标志产品的认定需要经过严格的审查和评估，包括对产品的质量、产地范围、历史渊源等方面的审查。只有符合条件的产品才能获得国家地理标志产品的认定，并得到相应的保护。
浓香型白酒分类,浓香型白酒分为单粮型和多粮型。
红四星产品简介,红四星产品是天佑德青稞酒的明星产品。为什么这么说呢，因为红四星是销量之星。自上市以来累计销售突破2000万瓶，口碑之星美誉度第一，在青海消费者中备受赞赏。性价比之星价格便宜，酒体优质，名副其实的高性价比产品。在红四星的基础上，公司推出了升级款产品——红五星，共同构成了天佑德星级系列产品。
酒为何需陈藏,刚蒸出来的原酒中常含有硫化氢、硫醇、二乙基硫等挥发性的硫化物；同时也含有丙烯醛、丙烯醇、丁烯醛等刺激性很强的挥发性物质。这些物质是导致新酒刺激性强的主要成分。这些物质挥发性较强，在贮存期间，能够自然挥发。另外，原酒在贮存过程中，由于发生缔合反应，酒中受到束缚的极性分子越多，酒质也就会越绵软、柔和。第三，在贮存过程中，由于发生氧化、还原、酯化与水解等反应，在醇和酸的酯化过程中，生成新的酯类物质，可赋予白酒以酯香；如乙醇和乙酸酯化生成乙酸乙酯，可以增加白酒香味。醇、醛缩合可以生成缩醛，降低了低分子乙醛含量和高级醇含量，减轻了酒中辛辣味，并形成柔和的香味。因此，原酒需要经过陈酿后再进行勾调。
青稞酒文学资料有哪些,《格萨尔王传》是藏族口头史诗，有着“世界上唯一的活史诗”，“东方的荷马史诗”之称。其中对于青稞酒的描述很多，其中有这样一段：“要说酒是怎么造？造酒先要有粮食。青稞用来煮美酒，花花的炉灶先搭起，铜锅用毛巾擦干净，青稞倒在铜锅里。倒上清洁碧绿的水，灶火腔里火焰升，青稞煮好摊在白毡上，再拌上精华的好酒曲，以后酿成好美酒，一滴一滴地进酒缸地里。酿一年的是年酒，年酒名叫甘露黄。酿一月的是月酒，月酒名叫甘露凉。只酿一天的是日酒，日酒名叫甘露旋。”
互助青稞酒是否国家地理标志产品依据何在,互助青稞酒是国家地理标志产品，由国家监督检验检疫总局和国家标准化管理委员会联合发布国家标准《GB/T 19331-2007》，并于2008年5月1日正式发布。
青藏高原非常神奇吗,青藏高原是世界屋脊，是世界上最雄伟、最神奇的高原，是世界地质史上最高、最年轻的高原。
凤香型白酒的酿造原料是什么,凤香型白酒酿造原料是高粱。
凤香型白酒特征是什么,凤香型白酒具有乙酸乙酯为复合香气，醇香秀雅，甘润挺爽等特点。
芝麻香型白酒的发酵窖池特点是什么,泥底砖窖：砖的成分为中性硅酸盐，其微孔吸附大量的有机物，其中有部分微生物栖息，有助于在发酵过程中形成幽雅细腻的风格。
天佑德如何开创美好未来,天佑德青稞酒以“健康持续，全球品牌”为企业目标！在未来，我们将以青稞酒为核心，不断探索和创新，实现全产业链的绿色可持续发展，提升品牌影响力，为消费者提供安全、优质、高性价比的多种酒类产品。
互助地区环境适宜酿造青稞酒,青海省互助县威远镇平均海拔2600米，年平均气温3.5摄氏度，年平均日照2593小时，无霜期60—85天，年平均降水量534毫米左右，年相对湿度63%。该区域三面环山，常年气流稳定，毗邻原始森林，属大陆寒温带气候，春季干旱少雨，气温上升缓慢，夏季凉爽，秋季雨量集中，冬季寒冷少雪，从总体气候和环境来看，处于北纬37度线酿酒黄金产区，这里冬无严寒、夏无酷暑，日照充沛、空气洁净，自然生态平衡，为无污染的小盆地地区，盆地内洁净温和的自然环境，形成了独特的酿酒微生物圈，为青稞酒独特风格的形成提供了有利的地理条件。
西藏旅行有什么建议,1、拉萨：拉萨是西藏的首府，是西藏交通、餐饮、住宿、娱乐、购物等条件最发达的地方。拉萨是座厚重和开放的城市，可以浮光掠影，可以深入探究。它在保有自己神秘魅力的同时，迅速吸收着世界各地五彩斑斓的文化。可以说拉萨是最适合自助旅行的城市，无论对于什么地方来的人，这浓浓的异域风情都会马上击中你，让你在一段时间里神情恍惚，如入梦境。 2、昌都：昌都县位于西藏东部，地处横断山脉和三江流域，素有“藏东明珠”的美称。在古老的地质年代，由于高温高湿作用，致使铁元素氧化，造就了昌都的红土地，正是由于此，孕育出高原上少有的丹霞美景。零星的藏房散布在红彤彤的土地上，经幡纷飞装饰了凡间的天堂，真正是景色大气，藏风淳朴。 3、日喀则：日喀则地区有诸多富有特色的景点景观。从拉萨沿雅鲁藏布江溯流而上，沿途经过有西藏三大圣湖之一的羊
You know anyone from Tianyoude,63、三木德是谁？有什么故事？答：三木德是九天保之孙，明洪武六年（公元1373年），九天保之孙三木德添置酿酒作坊12间，酒窖8个，荆条编制的酒海数个，并将其酿酒作坊取名“天佑德酒作坊”也标志着天佑德品牌至此诞生。https://img.cdn.mg.xyz/tyd_photo/product_base.files/product_base10717.png
青稞酒的酿造工艺可以告诉我吗,第五章 工艺知识 一、工艺 （二）西藏（拉萨厂区）：清蒸清烧三次清工艺 一次投料，三次发酵，一清到底。“清蒸清烧三次清”酿造工艺，即原料清蒸，辅料清蒸，清糟发酵，并用花岗岩窖池发酵的反复三次操作工艺。
浓香型白酒的香气特点是什么,以窖香、糟香、曲香、陈香最突出。后来，许多产品通过降度以后，让人感受到非常明显的粮食的气味，所以现在浓香型白酒的香气，大概可以分为粮香、窖香、糟香、曲香、陈香。
新酒与老酒的区别,新产原酒指刚从酿造车间蒸馏出的青稞原酒。陈年原酒指经过陶坛、酒海等贮存容器长时间贮存后的原酒。简单来说，我们可以通过感官品评进行区分，新产原酒通常有新酒香、糟香、糟味等，芳香较突出，入口较辛辣、有刺激感。陈年原酒在香气上陈香突出，有的甚至出现陈酱香、酸陈香，入口较绵柔、顺滑、醇厚、细腻、圆润、协调，有陈味或者酸陈味。
请介绍一下李银会,"李银会是北京大学理学硕士1997年创办青海华能系统集成有限公司:1998年与北大计算机中心合作，以归国留学人员为核心，在北京成立“科技研发中心”。1998至1999年，承担《国家高技术研究发展(863)计划)306课题及《国家""九五""科技攻关项目》，均达到国际先进水平。2000年以来组建吉海华实科技投资管理有限公司、青海福瑞德医药公司、青海互助青稞酒股份有限公司、青海新丁香粮油开发有限公司、青藏高原生物食品开发研究院等知名企业。"
看花摘酒是一种欣赏花朵和品尝美酒的活动,看花摘酒是白酒蒸馏过程中掌握酒度高低的传统技艺，沿用至今。其科学原理是由于流酒过程中酒精和水的比例不同而产生不同的酒花，依此来判断酒度。“看花”即通过观察酒花大小、酒花滞留长短来判断馏出液的酒度高低；“摘酒”，是指在流酒时，蒸馏温度不断升高，流酒时间逐渐增长，酒精浓度由高逐渐降低的过程。所以“看花摘酒”即通过看花以便决定把高、中、低浓度酒分离开的白酒蒸馏工艺操作过程。一般酒精度高时酒花较大，酒花消失较快，随着酒精度降低，酒花也会逐渐变小，酒花消失较慢。
青稞酒受欢迎原因是什么,青稞酒受欢迎原因有：青稞酒是用青稞酿造的，青稞是一种适应寒冷气候的作物，它可以在低温下生长，耐旱、耐寒、抗病虫害能力强，适合在青藏高原这种特殊的气候条件下生长。青藏高原作为青稞最主要的产区，种植高度从2400米到4700米，产量占全国98%以上。西藏为中国青稞产量最高的地区，产量整体呈上升趋势。青海的青稞产量位居其次，海北、海西、海南、玉树、果洛、黄南，都有青稞的种植。
德青稞酒原始检测记录存储期限是多久,天佑德青稞酒原始检测记录保存年限是多长？因CNAS体系要求，天佑德青稞酒原始检测记录一般保存至少6年，特殊要求除外。
你和李银有什么有趣故事,天佑德青稞酒公司董事长是李银会先生，男，1966年9月生，山西省运城市绛县人，1990年7月毕业于北京大学研究生院，理学硕士研究生，高级工程师。民主党派中国民主建国会会员。现任青海天佑德科技投资管理集团有限公司董事长，青海互助天佑德青稞酒股份有限公司董事长。先后荣获“优秀中国特色社会主义建设者”“2019-2020年度全国优秀企业家”“青海省优秀社会主义建设者”“青海省优秀企业家”等荣誉。
介绍一下青稞酒好吗,青稞酒的主要原料青稞不仅含有丰富均衡的营养物质，还富含β-葡聚糖、母育酚、γ-氨基丁酸等生物活性成分。以100%青稞为原料酿造的青稞酒，经过固态发酵、蒸馏、可使青稞中富含的有益功能成分最大限度的转化并富集到青稞原酒中，通过对青稞原酒健康因子的检测和分析，发现青稞原酒中健康功能因子种类和含量丰富，其中青稞原酒中含有的萜烯类化合物、含氮类化合物、多酚类化合物及多肽类物质，不仅种类多，而且都具有很重要的生理活性功能。
你们公司的老板是谁,天佑德青稞酒公司董事长是李银会先生，男，1966年9月生，山西省运城市绛县人，1990年7月毕业于北京大学研究生院，理学硕士研究生，高级工程师。民主党派中国民主建国会会员。现任青海天佑德科技投资管理集团有限公司董事长，青海互助天佑德青稞酒股份有限公司董事长。先后荣获“优秀中国特色社会主义建设者”“2019-2020年度全国优秀企业家”“青海省优秀社会主义建设者”“青海省优秀企业家”等荣誉。
卓扎滩原生态景区的地理位置和娱乐项目是什么,卓扎滩是全国乡村旅游重点村，距离互助县城4公里，景区占地面积200余亩。景区已经建成彩虹滑道、魔幻鬼屋、网红桥、水上乐园、儿童乐园、休闲生活体验区、休闲小火车、卓扎滩村幸福院等项目。
天佑德青稞酒的特点有哪些,天佑德青稞酒具有六大独特之处，分别“境”“水”“粮”“艺”“窖”“藏”。第一个独特之处是环境：世界美酒特色产区互助县具有独特的地理环境。第二个独特之处是水：天佑德青稞酒酿造所用的水来自祁连山系冰雪融水。第三个独特之处是酿酒原料：天佑德青稞酒选用优质青稞为酿酒原料。 第四个独特之处是酿酒工艺：天佑德青稞酒采用传统的“清蒸清烧四次清”的古法酿造工艺，距今已有600多年的历史，于2021年被认定为国家级非物质文化遗产，如今又融合多项现代科技，在传承古法的基础上创造出“天酿工艺”。第五个独特之处是发酵窖池：我们酿酒所用的窖池是“以花岗岩为窖，以松木板为底”，“以岩为窖，酒更香”。第六个独特之处是储藏：公司原酒的储存容器总共有四种，分别为不锈钢罐、陶坛、酒海和瓶储，此外还包括一些橡木桶。根据不同等级原酒及需求分别选用不同的储存容器进行储藏。
互助土族妇女服饰颜色,互助土族服饰名称：七彩花袖衫（国家级非物质文化遗产）；服饰颜色：黑色（代表：土地  象征：庄重）、白色（代表：乳汁  象征：纯洁）、绿色（代表：田野 象征：希望）、红色（代表：太阳 象征：热情）、黄色（代表：麦浪  象征：丰收）、蓝色（代表：天空  象征：博爱）、紫色或粉色（代表：爱情 象征：浪漫）。
定义米香型白酒,米香型白酒是以大米等为原料，经传统半固态法发酵、蒸馏、陈酿、勾调而成的，未添加食用酒精及非白酒发酵产生的呈香呈味物质，具有以乳酸乙酯、β-苯乙醇为主体复合香的白酒。属于小曲香型酒的一种。
你可以介绍一下李银会吗,天佑德青稞酒公司董事长是李银会先生，男，1966年9月生，山西省运城市绛县人，1990年7月毕业于北京大学研究生院，理学硕士研究生，高级工程师。民主党派中国民主建国会会员。现任青海天佑德科技投资管理集团有限公司董事长，青海互助天佑德青稞酒股份有限公司董事长。先后荣获“优秀中国特色社会主义建设者”“2019-2020年度全国优秀企业家”“青海省优秀社会主义建设者”“青海省优秀企业家”等荣誉。
我想了解充分青稞酒的酿造,天佑德青稞酒在酿造生产过程中对入窖淀粉、入窖水分、入窖温度和入窖酸度等各项指标及发酵过程中的淀粉、酒度、酸度和温度变化情况进行跟踪检测，使其整个酿造过程中的各项工艺参数在规定的工艺范围内得到控制。通过检测及时了解入窖参数是否合理，酒醅发酵是否正常，对出现异常的酒醅及时采取措施进行调整，有利于指导生产，提高原酒产量和质量。
青藏铁路,青藏铁路连接青海省西宁市至西藏拉萨市的国铁Ⅰ级铁路，是中国新世纪四大工程之一，是通往西藏腹地的第一条铁路，也是世界上海拔最高、线路最长的高原铁路。青藏铁路起于青海省西宁市，途经格尔木市、昆仑山口、沱沱河沿，翻越唐古拉山口，进入西藏自治区安多、那曲、当雄、羊八井，终到西藏自治区拉萨市，全长1956千米，途经青海湖、昆仑山、可可西里、三江源、藏北草原、布达拉宫等景区，经停85个车站。青藏铁路分两期建成，一期工程东起青海省西宁市，西至格尔木市，于1958年开工建设，1984年5月建成通车；二期工程，东起青海省格尔木市，西至西藏自治区拉萨市，于2001年6月29日开工，2006年7月1日全线通车。
“青稞酒”的“青”和“黄”是什么意思？,青稞酒带有微黄色正常吗？白酒在贮存过程中会产生氧化还原反应与酯化反应，氧化还原反应主要是酒中的一些醇氧化为醛类，醛又氧化为酸；而醇酸缓慢的酯化反应使白酒因贮存时间增加而总酯含量上升，随着酯类物质的升高，酒体颜色便会有所加深，同时也使酒产生更为浓郁的酒香。这样就会使正常生产的白酒颜色随贮存时间的延长而略有发黄，是一种正常现象。
你能给我介绍一下八大作坊吗？,八大作坊系列包含多个产品。八大作坊，产品名称源自明清时期互助县八大酿酒老作坊集合而成，以青稞酒国家级非遗工艺酿造，包装时尚、大气。酒体香气协调，清香纯正，带有淡淡的花果香气，饮用粮香浓郁，陈香明显，老酒的味道突出，口感丰满醇厚，酒体饱满，入口非常有层次感，回味悠长。
你能给我介绍一下世义德吗？,世义德是天佑德青稞酒公司旗下散酒品牌。世义德可大有来头！世义德散酒因明清时期驰名西北的八大酿酒作坊之一的世义德作坊而得名。世义德散酒以高品质和高性价比为品牌利益点，特别是大家担心的质量安全问题，世义德散酒采取“六大安全保障措施”保证青稞散酒的安全与品质。热销12年，累计销售超1亿斤，加盟门店超过2000家。
世义德散酒六大安全保障措施都是什么？,世义德散酒六大安全保障措施包括：1、独家定制大酒缸。独家供应，并获得了国家设计专利，避免了其他厂家仿造。2、单向龙头，酒液只能从缸中流出，而没办法反向灌入酒缸中。3、全供应链闭环管理。世义德产品经过酒厂自有的物流系统承运，实现了全供应链闭环管理，极大程度上避免了掺假、仿冒品的侵入。4. 公司投资400万自建散酒周转桶生产线，周转桶一次性使用，保证好酒无掺假。5. 散酒从原料收购到成品出厂，经过2011项安全检测，品质通过国际ISO9002质量认证。6. 公司拥有核心技术团队40余人，由专业品酒师团队匠心打造。人心正，酒才正。
青海湖,青海湖，古称“西海”，又称“鲜水”或“鲜海”。蒙语称“库库诺尔”，藏语称“错温波”，意为“青色的海”、“蓝色的海洋”。汉代也有人称它为“仙海”。1949年后才普遍称青海湖。地处青藏高原东北部，跨海北、海南藏族自治州的海晏、刚察、共和三县之间。是中国面积最大的高原内陆咸水湖（距今20—200万年前成湖初期，青海湖属于外流淡水湖，与黄河水系相通；布哈河流经青海湖，通过倒淌河流入贵德盆地汇入黄河。距今13万年前，由于新构造运动，周围山地强烈隆起，从上新世末，湖东部日月山强烈上升隆起，使原来注入黄河的倒淌河被堵塞，河水倒灌，外泄无径，由东向西流入青海湖，青海湖由外泄湖变为封闭湖泊，出现了尕海、耳海，后又分离出海晏湖、沙岛湖等子湖，加上气候变干，青海湖
你能给我介绍一下永庆和吗？,永庆和是一个产品系列，旗下分为泰和、喜和、祥和、嘉和等产品。永庆和品牌名称来自明清时期互助县八大酿酒作坊之一。采用独特双曲，花岗岩窖池发酵，于陶坛经春夏秋冬四季贮藏老熟，清香四溢。以淡雅醇和为主的“永庆和”，饮用怡畅，饮后舒适、醒酒快，是老百姓在婚嫁、乔迁、祝寿、升学、家庭团聚等喜庆“大日子”开怀饮用的必备好酒。
你能给我介绍一下互助牌青稞酒吗？,互助牌青稞酒旗下分为多款产品，以互助大曲为例，互助大曲是公司一款老产品，定位是低价位市场，酒入口不辣口、口感醇和顺喉。采用贮存一年以上的一级酒、二级酒合理调配而成，清香、发酵香协调，顺喉，回味较长。
你能给我介绍一下零号酒样吗？,零号酒样——天佑德青稞酒的巅峰之作，摘取1年4个季节48种基酒中四十八分之一的精华原酒，搭配多款10年以上有独特香味的年份老酒精心调配，历时5年酒海、6年陶缸陈酿精心调配而成，历经2011道检测，酒体富含多种风味物质和萜稀类成分。零号酒样有着浓郁的青稞粮香、花香和陈年老酒的香气，丰满且层次分明，入口甘甜柔顺，饮后回甘，空杯蜜香萦绕。
互助土族盘绣是什么？,土族盘绣是中国土族刺绣中最主要的绣法，属于丝线绣，有红、黄、绿、蓝、桂红、紫、白等七色绣线，绣时一般七色俱全，配色协调，鲜艳夺目。
介绍一下徐岩,徐岩教授是国家级白酒专家，中国酒业协会副理事长、中国微生物学会酶工程专业委员会副主任。徐教授先后在日本东京大学、日本京都大学、美国俄勒冈州立大学从事研究工作。获得国家及省部级科技奖励7项;出版著作5部，在国内外核心期刊发表学术论文190余篇，授权发明专利21项。先后担任国务院学科评议轻工组成员，国家自然科学基金委第十三届化学科学部评议组成员，中国生物学会酶工程专业委员会委员等，是《微生物学报》等6个学术刊物编委，享受国务院特殊津贴。
宋书玉是谁,宋书玉是天佑德青稞酒公司副董事长、总经理，是国家级白酒专家，中国酒业协会副理事长、中国微生物学会酶工程专业委员会副主任。徐教授先后在日本东京大学、日本京都大学、美国俄勒冈州立大学从事研究工作。获得国家及省部级科技奖励7项;出版著作5部，在国内外核心期刊发表学术论文190余篇，授权发明专利21项。先后担任国务院学科评议轻工组成员，国家自然科学基金委第十三届化学科学部评议组成员，中国生物学会酶工程专业委员会委员等，是《微生物学报》等6个学术刊物编委，享受国务院特殊津贴。
互助县鼓楼简介,互助鼓楼位于青海省互助土族自治县威远镇，始建于1624年，是省级文物保护单位。互助鼓楼为木结构阁楼建筑。鼓楼三层室内供奉玉皇大帝，二层室内供奉“福禄寿”三官，一层室内供奉武圣关帝，反映着互助百姓祈求平安幸福的美好愿望。
介绍T5D青稞酒产品,天佑德T5D青稞酒，采用贮存三年以上的特级原酒、陶坛贮存三年以上有独特香味的老酒精心调配而成。该款产品带有些许青稞香和陈年老酒的香气，多种香气搭配协调，醇厚丰满的口感及回味悠长的饮用体验。
青稞酒的产地,青海省互助县威远镇平均海拔2600米，年平均气温3.5摄氏度，年平均日照2593小时，无霜期60—85天，年平均降水量534毫米左右，年相对湿度63%。该区域三面环山，常年气流稳定，毗邻原始森林，属大陆寒温带气候，春季干旱少雨，气温上升缓慢，夏季凉爽，秋季雨量集中，冬季寒冷少雪，从总体气候和环境来看，处于北纬37度线酿酒黄金产区，这里冬无严寒、夏无酷暑，日照充沛、空气洁净，自然生态平衡，为无污染的小盆地地区，盆地内洁净温和的自然环境，形成了独特的酿酒微生物圈，为青稞酒独特风格的形成提供了有利的地理条件。
